Timestamp	1.  I raid because I want to...	2.  Which aspect(s) of the raid team do you think the guild needs to focus on in recruiting? (check all that apply)	3.  I think the officers are on the same page about the goals of the guild	4.  I think the officers listen to feedback during progression and adjust accordingly	5.  I think the officers do a good job providing feedback to the raid and/or individuals when applicable	6.  I think the officers do a good job with loot distribution	7.  I think the officers do a good job with picking the most optimal raid composition for progression	8.  I am satisfied with how we spend raid time	9.  I am satisfied with our performance in Nighthold	10.  I think we will achieve Cutting Edge in Tomb of Sargeras	11.  In the early weeks of Tomb of Sargeras opening, we will have a lot of content to squeeze in.  How do you feel we should best prioritize our raid time?	12.  If we run out of time in the early weeks of Tomb of Sargeras opening, how do you feel about adding a 4th raiding night? (check all that apply)	13.  One thing the officers should do that would improve my personal raid time is...	14.  One thing the officers should do that would improve the overall guild is...	15.  Enter any additional comments here:
6/11/2017 21:37:30	7	None of the above	5	5	5	4	4	5	2	5	Mythic Elisande & Gul'dan (mount) > Heroic ToS > Mythic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	give away a free wow token every sunday  	big fan	big fan 
6/11/2017 21:37:53	4	Tanks, Ranged DPS	4	4	3	5	5	3	5	5	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Saturday			
6/11/2017 21:38:11	5	None of the above	5	5	5	5	5	4	5	5	Heroic ToS > Mythic Elisande & Gul'dan (mount) > Mythic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	Better transmog sets on characters in raid. Looking at Roomerz makes my eyes hurt.	CLEAR CONSISTENT RAID CALLER	RAWR.
6/11/2017 21:41:27	5	Tanks, Ranged DPS	2	3	2	5	4	3	3	5	Heroic ToS > Mythic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	be more decisive with wipes; wastes a lot of time dragging it out unless we're trying to see more of the fight for progression.	Try to recruit more. There is no pressure to do your best and some people seem to be taking advantage of that.	Officers need to figure out a common goal that they agree on and present united front to the raid throughout progression
6/11/2017 21:41:40	5	Ranged DPS	5	5	4	4	4	5	5	5	Mythic Elisande & Gul'dan (mount) > Mythic ToS > Heroic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	I think they do a great job, I don't think they can do anything to improve my raid time.	Discussing plans about our goals for the week prior to the actual raid night would be nice. As of late, the GMOTD has been really kept up to date and I love it! 	Overall, really happy with the people, officers, and progression within the guild! I would personally love adding a fourth day on some weeks during progression to help speed up the process. I know some people can't commit to that but it would be great if that could happen for at least the first few weeks of a new tier!
6/11/2017 21:41:43	5	Healing, Tanks, Ranged DPS, Melee DPS, None of the above	5	4	3	5	5	4	4	4	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I don't support it, we should stick to 9 hours/week even if it means not clearing all of the content	I don't have any suggestions at this time. I'll share my ideas as appropriate.	Recruit another officer to help with responsibilities when one/two officers are gone. I believe that 4 is a better number to ensure that running the raid/guild doesn't overwhelm a single officer.	Overall, I think the guild is low drama and being run well. I would continue to give the guild members a voice and avoid group think. 
6/11/2017 21:42:04	6	Healing, Ranged DPS	2	1	2	4	3	3	3	5	Mythic Elisande & Gul'dan (mount) > Mythic ToS > Heroic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday			Over the course of Nighthold progression, the officers had a relatively lackluster approach, with several times there being inconsistency in how progression was approached.  Examples would be the seeming lack of willingness to push progression during the Botanist~ timeframe.  Following that, there was an extremely hard push to kill Gul'dan, extending 4 weeks.  I don't mind doing hard progression, but I would like to have the actual progression goals outlined directly.  One of the biggest small progression issues is the insistence of using the same composition, or saying 'we will do it for just a couple more pulls' with something that is not working.  While in some cases that is correct, I think that the 'pulling the trigger' on changing compositions or changing strategies needs to be made more quickly.  Generally when a suggestion about a new strategic choice happens, it takes between 5-25 more pulls before they are implemented.  When we are learning new fights, there should be more allowance for adjustments and potential changes to strats.  Sometimes feedback to the raid is very good.  Sometimes the feedback is nonexistant.  this is especially true on long progression fights (Botanist, Star Augur).  I think it would be helpful if we didn't have 10-20 pulls at a time where the officers have just had a tiff, and then no one talks at all for that period of time.  For progression in ToS.  I think on opening week we should clear M:NH at least through Elisande, so that the majority of players can get the skip.  After that we should focus solely on Tomb until we reach a comfortable point in progression and gearing so we can faceroll Gul'Dan for mounts.
6/11/2017 21:44:04	5	Tanks, Ranged DPS	5	5	4	5	5	5	5	5	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I don't support it, we should stick to 9 hours/week even if it means not clearing all of the content			
6/11/2017 21:45:23	2	Ranged DPS	3	4	3	5	5	3	4	5	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	bring back my boy Jaaria	Caustic is the greatest guild ever created, its impossible to improve perfection	We should also consider extending raid time by ~30 each night if adding another day doesn't work for a vast majority of people
6/11/2017 21:45:48	4	Ranged DPS	4	4	3	5	4	2	2	4	Heroic ToS > Mythic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Saturday	Maybe start raid faster to maximize time spent raiding in hopes to kill bosses faster.	None that i can think of. 	I felt like Guldan progression was slow, but i can't really point out one major thing that could have been improved. Roster consistency would have probably helped.
6/11/2017 21:55:12	6	Tanks	4	4	4	5	5	4	3	5	Heroic ToS > Mythic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday			
6/11/2017 22:17:27	4	None of the above	4	4	5	3	3	5	3	5	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	N/A	N/A	Trial period felt kinda awkward for me. I think it was mainly because I joined you guys at an odd time. However I did enjoy how it made  me a better player. I also really liked how you guys included the social aspect as well. Considering people might be able to throw up number and do mechanics, If they're toxic AF they shouldn't be around. Anyway, cheers guys and looking forward to raiding with you in the future! -Dannon
